name,platform,year_of_release,genre,publisher,developer
Backyard NFL Football '09,PS2,2008,Sports,Atari,
World Destruction League: Thunder Tanks,PS2,2000,Action,3DO,3DO
Tom Clancy's Ghost Recon: Future Soldier,PC,2012,Shooter,Ubisoft,Ubisoft Paris
Backyard Baseball '10,PS2,2009,Sports,Atari,Farsight Studios
Resident Evil Director's Cut: Dual Shock Edition,PS,1997,Action,Capcom,
Broken Sword: Shadows of the Templars - The Director's Cut,DS,2009,Adventure,Ubisoft,
PlayStation Move Heroes,PS3,2011,Platform,Sony Computer Entertainment,Nihilistic
The King of Fighters '95,PS,1996,Fighting,Sony Computer Entertainment,
RoadKill,PS2,2003,Action,Midway Games,Terminal Reality
Hanjuku Eiyuu Tai 3D,PS2,2003,Role-Playing,Square Enix,
.hack//G.U. Vol.3//Redemption,PS2,2007,Role-Playing,Namco Bandai Games,
Super Robot Taisen Compact 2 Dai-1-Bu,WS,2000,Strategy,Namco Bandai Games,
Looney Tunes: Back in Action,GC,2003,Platform,Warner Bros. Interactive Entertainment,Warthog
Marvel Super Hero Squad: The Infinity Gauntlet,PS3,2010,Action,THQ,THQ
The Chronicles of Narnia: Prince Caspian,PS3,2008,Action,Disney Interactive Studios,Traveller's Tales
Tak: The Great Juju Challenge,GBA,2005,Platform,THQ,WayForward
Yu-Gi-Oh! Zexal World Duel Carnival,3DS,2013,Misc,Konami Digital Entertainment,
SingStar Motown,PS3,2009,Misc,Sony Computer Entertainment,
Macross Ultimate Frontier,PSP,2009,Action,Namco Bandai Games,
Top Spin 2,X360,2006,Sports,Take-Two Interactive,Pam Development
Hunter: The Reckoning Redeemer,XB,2003,Action,Interplay,High Voltage Software
Age of Empires III: Complete Collection,PC,2009,Strategy,Microsoft Game Studios,Microsoft Game Studios
Captain America: Super Soldier,X360,2011,Action,Sega,Next Level Games
Tokyo Xtreme Racer,DC,1999,Racing,Genki,
Fighter Maker,PS,1998,Fighting,Agetec,
Danganronpa 2: Goodbye Despair,PSV,2014,Misc,Nippon Ichi Software,Spike Chunsoft
Thief: Deadly Shadows,XB,2004,Action,Eidos Interactive,Ion Storm
Monkey Island: Special Edition Collection,PC,2011,Adventure,LucasArts,
MotoGP 10/11,PS3,2011,Racing,Capcom,Monumental Games
NBA 09: The Inside,PSP,2008,Sports,Sony Computer Entertainment,SCEA San Diego Studios
Batman Begins,GBA,2005,Action,Electronic Arts,Vicarious Visions
Mercury Meltdown Revolution,Wii,2007,Action,Ignition Entertainment,Ignition Entertainment
Glover,PS,1999,Platform,Atari,
Dragon Ball GT: Game Boy Advance Video Volume 1,GBA,2004,Misc,N/A,
Country Dance: All Stars,X360,2012,Action,GameMill Entertainment,High Voltage Software
Let's TAP,Wii,2008,Misc,Sega,Prope
James Cameron's Dark Angel,PS2,N/A,Action,Universal Interactive,Radical Entertainment
Mahjong Fight Club,PSP,2004,Misc,Konami Digital Entertainment,
Turok 3: Shadow of Oblivion,N64,2000,Shooter,Acclaim Entertainment,
Bomberman 64: The Second Attack!,N64,1999,Adventure,Hudson Soft,
World Driver Championship,N64,1999,Racing,Midway Games,
The Lord of the Rings: Aragorn's Quest,PS3,2010,Action,Warner Bros. Interactive Entertainment,TT Fusion
Spawn: Armageddon,XB,2003,Action,Electronic Arts,Point of View
Project X Zone 2: Brave New World,3DS,2015,Role-Playing,Namco Bandai Games,
Codename: Kids Next Door: Game Boy Advance Video Volume 1,GBA,2004,Misc,N/A,
Pokémon Beach Blank-out Blastoise / Go West Young Meowth Game Boy Advance Video,GBA,2004,Misc,Nintendo,
Major League Baseball 2K9,PS2,2009,Sports,Spike,2K Sports
Gundam Assault Survive,PSP,2010,Action,Namco Bandai Games,
Bee Movie Game,X360,2007,Action,Activision,Beenox
Luxor 3,Wii,2008,Puzzle,Mumbo Jumbo,MumboJumbo
Disney TH!NK Fast: The Ultimate Trivia Showdown,PS2,2008,Misc,Disney Interactive Studios,
Jikkyou Powerful Pro Yakyuu 2013,PSP,2013,Sports,Konami Digital Entertainment,
Fate/Stay Night [Réalta Nua],PS2,2007,Adventure,Kadokawa Shoten,
Disney's Home on the Range,GBA,2004,Action,Disney Interactive Studios,Artificial Mind and Movement
The Rise of the Argonauts,X360,2008,Role-Playing,Codemasters,
Conception II: Children of the Seven Stars,PSV,2013,Role-Playing,Screenlife,Spike
Deus Ex: Mankind Divided,XOne,2016,Role-Playing,Square Enix,Eidos Montreal
Space Griffon VF-9,PS,1995,Role-Playing,Panther Software,
Professor Heinz Wolff's Gravity,Wii,2008,Puzzle,Deep Silver,Deep Silver
.hack//G.U. Vol.1//Rebirth,PS2,2006,Role-Playing,Namco Bandai Games,
Transformers: Dark of the Moon,Wii,2011,Action,Activision,
FaceBreaker,PS3,2008,Fighting,Electronic Arts,EA Canada
Star Wars: Battlefront II,PC,2005,Shooter,LucasArts,Pandemic Studios
Michael Jackson: The Experience 3D,3DS,2011,Misc,Ubisoft,
Gyakuten Saiban 3,GBA,2004,Adventure,Capcom,
Digimon Story: Cyber Sleuth,PSV,2015,Role-Playing,Namco Bandai Games,Media Vision
Gallop Racer 2001,PS2,2001,Sports,Tecmo Koei,Tecmo
Hellboy: The Science of Evil,PS3,2008,Action,Konami Digital Entertainment,Krome Studios
Nightmare Creatures II,PS,2000,Action,Konami Digital Entertainment,
MotoGP 09/10,X360,2010,Racing,Capcom,Monumental Games
Bratz Kidz,Wii,2008,Misc,Game Factory,EKO Software
N3 II: Ninety-Nine Nights,X360,2010,Action,Microsoft Game Studios,
Catwoman,PS2,2004,Action,Electronic Arts,Argonaut Games
Garfield: Lasagna World Tour,PS2,2007,Action,Blast! Entertainment Ltd,EKO Software
Teenage Mutant Ninja Turtles: Game Boy Advance Video Volume 1,GBA,2004,Misc,N/A,
Bomberman B-Daman,SNES,1996,Shooter,Hudson Soft,
Monsters vs. Aliens,X360,2009,Action,Activision,Beenox
Beat Down: Fists of Vengeance,PS2,2005,Action,Capcom,Cavia Inc.
World Destruction League: Thunder Tanks,PS,2000,Action,3DO,3DO
Terminator 3: The Redemption,PS2,2004,Shooter,Atari,Paradigm Entertainment
Reloaded,PS,1996,Action,Gremlin Interactive Ltd,
Sword of the Samurai,PS2,N/A,Fighting,Ubisoft,
Anarchy Reigns,X360,2012,Action,Sega,PlatinumGames
SSX On Tour,GC,2005,Sports,Electronic Arts,EA Canada
Bladestorm: Nightmare,PS4,2015,Action,Tecmo Koei,Omega Force
Fairytale Fights,X360,2009,Action,Playlogic Game Factory,"Playlogic, The Game Factory"
LEGO Marvel Super Heroes,PC,2013,Action,Warner Bros. Interactive Entertainment,TT Games
Hot Wheels: Beat That!,X360,2007,Racing,Activision,
Ashes Cricket 2009,PS3,2009,Sports,Codemasters,
James Bond 007: Everything or Nothing,GBA,2003,Shooter,Electronic Arts,Griptonite Games
Naruto Shippuden: Ultimate Ninja 5,PS2,2007,Fighting,Namco Bandai Games,
Shrek Extra Large,GC,2002,Platform,TDK Mediactive,Digital Illusions
Final Fantasy V,PS,1998,Role-Playing,SquareSoft,
World Tour Soccer 2006,PS2,2004,Sports,Sony Computer Entertainment,SCEE London Studio
Gunvalkyrie,XB,2002,Shooter,Infogrames,Smilebit
Camp Rock: The Final Jam,DS,2010,Misc,Disney Interactive Studios,
NickToons: Racing,PS,2001,Racing,Hasbro Interactive,
Jillian Michaels Fitness Ultimatum 2011,Wii,2010,Sports,D3Publisher,D3Publisher
VR Golf '97,PS,1996,Sports,Gremlin Interactive Ltd,
State of Emergency,XB,2003,Action,Take-Two Interactive,VIS Entertainment
Off-World Interceptor Extreme,PS,1995,Racing,Crystal Dynamics,
Sumikko Gurashi: Koko ga Ochitsukundesu,3DS,2014,Action,Nippon Columbia,
Disney Golf,PS2,2002,Sports,Electronic Arts,T&E Soft
The Naked Brothers Band: The Video Game,PS2,2008,Misc,THQ,
Fuzion Frenzy 2,X360,2007,Misc,Microsoft Game Studios,Hudson Soft
Demon Gaze,PSV,2013,Role-Playing,Nippon Ichi Software,Experience Inc.
Clock Tower II: The Struggle Within,PS,1998,Adventure,Human Entertainment,Human Entertainment
Batman Beyond: Return of the Joker,PS,2000,Action,Ubisoft,Kemco
My French Coach,DS,2007,Misc,Ubisoft,Ubisoft
Backyard NFL Football '10,Wii,2009,Sports,Atari,
CSI: Fatal Conspiracy,X360,2010,Adventure,Ubisoft,Telltale Games
Mega Man Network Transmission,GC,2003,Platform,Capcom,Arika
Densetsu no Stafi 4,DS,2006,Platform,Nintendo,
Death Trap,2600,1982,Action,Avalon Interactive,
Shin Megami Tensei: Devil Summoner 2 - Raidou Kuzunoha vs. King Abaddon (JP sales),PS2,2008,Role-Playing,Atlus,
Fairytale Fights,PS3,2009,Action,Playlogic Game Factory,"Playlogic, The Game Factory"
How to Train Your Dragon 2,X360,2014,Adventure,Little Orbit,Torus Games
Tokimeki Memorial: Private Collection,PS,1996,Misc,Konami Digital Entertainment,
Magical Starsign (US sales),DS,2006,Role-Playing,Nintendo,
RC Revenge Pro,PS2,2000,Racing,Acclaim Entertainment,Acclaim
G-Force,X360,2009,Action,Disney Interactive Studios,Eurocom Entertainment Software
Surf's Up,Wii,2007,Sports,Ubisoft,Ubisoft Montreal
Buzz! Brain of the UK,PS3,2009,Misc,Sony Computer Entertainment,
Backyard Wrestling: Don't Try This at Home,XB,2003,Fighting,Eidos Interactive,Paradox Development
Gauntlet: Dark Legacy,XB,2002,Action,Midway Games,Midway
Far East of Eden II: Manji Maru,PS2,2003,Role-Playing,Hudson Soft,
Time and Eternity,PS3,2012,Role-Playing,Nippon Ichi Software,"Image Epoch, Imageepoch"
Lost Kingdoms,GC,2002,Role-Playing,Activision,From Software
Brunswick Cosmic Bowling,Wii,2010,Sports,GameMill Entertainment,CokeM Interactive
Pursuit Force: Extreme Justice,PSP,2007,Action,Sony Computer Entertainment,Bigbig Studios
Disney Sing It: Family Hits,PS3,2010,Misc,Disney Interactive Studios,Disney Interactive Studios
Matchbox Cross Town Heroes,GBA,2002,Racing,THQ,
The Cursed Crusade,PS3,2011,Action,DTP Entertainment,Kylotonn
Ridge Racer Unbounded,PS3,2012,Racing,Namco Bandai Games,Bugbear
Wolfenstein 3D,GBA,2002,Shooter,BAM! Entertainment,Stalker Entertainment
Nobunaga no Yabou: Tenshoki,SNES,1996,Strategy,Tecmo Koei,
NHL 07,PSP,2006,Sports,Electronic Arts,EA Sports
I'm A Celebrity: Get Me Out of Here!,Wii,2009,Misc,Mindscape,
Dementium: The Ward,DS,2007,Shooter,SouthPeak Games,Renegade Kid
Mobile Suit Gundam: Extreme VS Force,PSV,2015,Action,Namco Bandai Games,Bandai Namco Games
Dragon Quest X,3DS,2014,Role-Playing,Square Enix,
Learning to Spell,DS,2010,Misc,505 Games,505 Games
TRON: Evolution,DS,2010,Action,Disney Interactive Studios,n-Space
Sudoku Gridmaster,DS,2006,Puzzle,Nintendo,AI
NASCAR '14,X360,2014,Racing,Deep Silver,Deep Silver
Super Power League,SNES,1993,Sports,Hudson Soft,
Bakugan Battle Brawlers: Defenders of the Core,PS3,2010,Action,Activision,Now Production
Green Lantern: Rise of the Manhunters,PS3,2011,Action,Warner Bros. Interactive Entertainment,Double Helix Games
Street Fighter Alpha 2,SNES,1996,Fighting,Nintendo,
25 to Life,XB,2006,Shooter,Eidos Interactive,"Ritual Entertainment, Avalanche Software"
Squeeballs Party,DS,2009,Puzzle,Performance Designed Products,Eiconic Games
Naval Assault: The Killing Tide,X360,2010,Simulation,505 Games,Artech Studios
NASCAR '15,X360,2015,Sports,Deep Silver,DMi Games
NCAA Basketball 09,PS3,2008,Sports,Electronic Arts,EA Canada
Sega Superstars,PS2,2004,Misc,Sega,Sonic Team
MLB 11: The Show,PSP,2011,Sports,Sony Computer Entertainment,SCEA San Diego Studios
Bomberman Land,Wii,2007,Misc,Rising Star Games,Racjin
Ringling Bros. and Barnum & Bailey: Circus Friends,DS,2009,Action,Take-Two Interactive,
Midway Arcade Treasures,GC,2003,Misc,Midway Games,Midway
Leisure Suit Larry: Magna Cum Laude,XB,2004,Adventure,Vivendi Games,High Voltage Software
Mousetrap / Operation / Simon,GBA,2005,Misc,DSI Games,
Pac-Man World 3,DS,2005,Platform,Namco Bandai Games,"Blitz Games, Human Soft"
Shawn Johnson Gymnastics,Wii,2010,Sports,Zoo Games,Zoo Games
NBA 09: The Inside,PS2,2008,Sports,Sony Computer Entertainment,SCEA San Diego Studios
One Piece: Pirate Warriors 3,PSV,2015,Action,Namco Bandai Games,Omega Force
Jikkyou Powerful Pro Yakyuu 2014,PS3,2014,Sports,Konami Digital Entertainment,
Resident Evil,SAT,1997,Action,Capcom,
TOEIC Test Training DS,DS,2007,Misc,IE Institute,
Itoi Shigesato no Bass Tsuri No. 1,SNES,1997,Sports,Nintendo,
ZhuZhu Puppies,DS,2011,Simulation,Activision,Activision
Cubivore: Survival of the Fittest,GC,2002,Adventure,Nintendo,Nintendo
7th Dragon III Code: VFD,3DS,2015,Role-Playing,Sega,Sega
FlatOut,XB,2004,Racing,Empire Interactive,Bugbear
Chaotic: Shadow Warriors,PS3,2009,Action,Activision,FUN Labs
Mr. Do!'s Castle,2600,1983,Action,Parker Bros.,
Armor Ambush,2600,1981,Action,Mattel Interactive,
Parodius,SAT,1995,Shooter,Konami Digital Entertainment,
Easy Piano,DS,2009,Misc,Game Life,Game Life
Blood Bowl,X360,2009,Sports,Focus Home Interactive,Cyanide
Taz Wanted,PS2,2002,Platform,Atari,Blitz Games
Far Cry: Primal,PC,2016,Action,Ubisoft,Ubisoft Montreal
Sid Meier's Civilization IV,PC,2005,Strategy,Take-Two Interactive,Firaxis Games
Zoo Keeper,DS,2004,Puzzle,Ignition Entertainment,"Buddiez, Inc."
Phantasy Star Online 2,PSV,2013,Role-Playing,Sega,
Vehicular Combat League presents Motor Mayhem,PS2,2001,Racing,Atari,
Chuck E. Cheese's Party Games,Wii,2010,Misc,UFO Interactive,UFO Interactive
Pursuit Force,PSP,2005,Racing,Sony Computer Entertainment,Bigbig Studios
PoPoLoCrois: Hajimari no Bouken,PS2,2002,Role-Playing,Sony Computer Entertainment,
Star Wars: Super Bombad Racing,PS2,2001,Racing,LucasArts,Lucas Learning
TransFormers Animated: The Game,DS,2008,Action,Activision,Artificial Mind and Movement
Hamster Heroes,Wii,2008,Puzzle,Popcorn Arcade,
Hot Wheels Velocity X,GBA,2002,Racing,THQ,
Driver: San Francisco,Wii,2011,Racing,Ubisoft,Ubisoft Reflections
Alien Resurrection,PS,2000,Shooter,Fox Interactive,Argonaut Games
World Tour Soccer 2005,PS2,2004,Sports,Sony Computer Entertainment,SCEE London Studio
Disney Friends,DS,2007,Simulation,Disney Interactive Studios,"Amaze Entertainment, Walt Disney Japan"
ESPN College Hoops,PS2,2003,Sports,Sega,Visual Concepts
Dengeki Bunko Fighting Climax,PS3,2014,Fighting,Sega,"Sega, French-Bread"
F1 Championship Season 2000,PS2,2000,Racing,Electronic Arts,EA Sports
Leisure Suit Larry: Box Office Bust,X360,2009,Adventure,Codemasters,Team 17
Pen 1 Grand Prix: Penguin no Mondai Special,DS,2009,Fighting,Konami Digital Entertainment,
Robotech: Battlecry,GC,2002,Shooter,TDK Mediactive,Vicious Cycle
Zapper: One Wicked Cricket!,PS2,2002,Platform,Infogrames,
Bomberman Land,PS,2000,Misc,Hudson Soft,
Clash of the Titans,X360,2010,Action,Namco Bandai Games,Game Republic
Pro Evolution Soccer 2014,PSP,2013,Action,Konami Digital Entertainment,Konami
Paws & Claws: Pet Resort,GBA,2006,Simulation,THQ,
Kya: Dark Lineage,PS2,2003,Adventure,Atari,Eden Studios
Mirror's Edge Catalyst,XOne,2016,Platform,Electronic Arts,EA DICE
Curious George,GBA,2006,Action,Namco Bandai Games,Torus Games
Stronghold 3,PC,2011,Strategy,N/A,FireFly Studios
Lethal Skies II,PS2,2003,Simulation,Sammy Corporation,"Asmik Ace Entertainment, Inc"
F1 2011,3DS,2011,Racing,Codemasters,Codemasters
Kamaitachi no Yoru × 3,PS2,2006,Adventure,Sega,
Guilty Gear Judgment,PSP,2006,Fighting,Majesco Entertainment,Arc System Works
Tom and Jerry: Infurnal Escape,GBA,2003,Action,Ubisoft,
NCAA Football 09 All-Play,Wii,2008,Sports,Electronic Arts,EA Canada
Splatterhouse,PS3,N/A,Action,Namco Bandai Games,"Namco Bandai Games America, Namco Bandai Games"
The Legend of Heroes VII: The Trail of Zero,PSP,2010,Role-Playing,Falcom Corporation,
Doctor Lautrec and the Forgotten Knights,3DS,2011,Adventure,Konami Digital Entertainment,WinkySoft
King's Field,PS,1995,Role-Playing,Sony Computer Entertainment,
Let's Ride: Sunshine Stables,GBA,2005,Sports,DTP Entertainment,
World Stadium 4,PS,2000,Sports,Namco Bandai Games,
Disney's American Dragon Jake Long: Attack of the Dark Dragon,DS,2006,Action,Disney Interactive Studios,WayForward
Midway Arcade Treasures 2,GC,2004,Misc,Midway Games,Backbone Entertainment
Hot Wheels World Race,GC,2003,Racing,THQ,Climax Group
San Goku Shi Taisen DS,DS,2007,Strategy,Sega,
Monster Jam,Wii,2007,Racing,Activision,Activision
Kawa no Nushi Tsuri,PS,1998,Sports,Victor Interactive,
Castlevania Judgment,Wii,2008,Fighting,Konami Digital Entertainment,Eighting
Magic: The Gathering - Battlegrounds,XB,2003,Strategy,Atari,
N2O: Nitrous Oxide,PS,1998,Racing,Gremlin Interactive Ltd,
Dancing With The Stars,PS2,2007,Misc,Activision,Zoe Mode
Apache: Air Assault,X360,2010,Simulation,Activision,Gaijin Entertainment
Aliens: Infestation,DS,2011,Action,Sega,"Gearbox Software, WayForward"
Return to PopoloCrois: A Story of Seasons Fairytale,3DS,2015,Simulation,Marvelous Entertainment,Marvelous Inc.
Angry Birds Trilogy,PS3,2012,Action,Activision,"Rovio Mobile, Rovio Entertainment"
SD Gundam G Generation 3D,3DS,2011,Role-Playing,Namco Bandai Games,
Crash Tag Team Racing,GC,2005,Racing,Vivendi Games,Radical Entertainment
El Shaddai: Ascension of the Metatron,X360,2011,Action,Ignition Entertainment,Ignition Entertainment
NPPL: Championship Paintball 2009,PS3,2008,Shooter,Activision Value,FUN Labs
True Swing Golf,DS,2005,Sports,Nintendo,T&E Soft
TimeSplitters: Future Perfect,XB,2005,Shooter,Electronic Arts,Free Radical Design
Hannah Montana: Rock Out the Show,PSP,2009,Misc,Disney Interactive Studios,
Zoo Hospital,Wii,2008,Simulation,Majesco Entertainment,Torus Games
Family Feud Decades,Wii,2010,Misc,Ubisoft,Ludia
Midway Arcade Treasures 3,PS2,2005,Misc,Midway Games,Digital Eclipse
Goosebumps HorrorLand,Wii,2008,Adventure,Scholastic Inc.,SScholastic Media
Dr. Muto,PS2,2002,Platform,Midway Games,
Thrillville: Off the Rails,X360,2007,Strategy,LucasArts,Frontier Developments
DS Rakubiki Jiten,DS,2005,Misc,Nintendo,
SeaWorld Adventure Parks: Shamu's Deep Sea Adventure,PS2,2005,Adventure,Activision,
Fatal Frame II: Crimson Butterfly,PS2,2003,Action,Ubisoft,Tecmo
Murdered: Soul Suspect,XOne,2014,Action,Square Enix,Airtight Games
Shadow Man: 2econd Coming,PS2,2002,Adventure,Acclaim Entertainment,Acclaim
Yu-Gi-Oh! 5D's Tag Force 6,PSP,2011,Strategy,Konami Digital Entertainment,
Dynasty Warriors 4,XB,2003,Action,Tecmo Koei,Omega Force
Warriors Orochi 3,X360,2011,Action,Ubisoft Annecy,Omega Force
Wakeboarding Unleashed Featuring Shaun Murray,PS2,2003,Sports,Activision,Shaba Games
The Incredibles: Rise of the Underminer,GC,2005,Action,THQ,Heavy Iron Studios
Beowulf: The Game,PS3,2007,Action,Ubisoft,Ubisoft
Dewy's Adventure,Wii,2007,Platform,Konami Digital Entertainment,Konami
Jikkyou Powerful Pro Yakyuu 3 '97 Haru,SNES,1997,Sports,Konami Digital Entertainment,
Alone in the Dark: The New Nightmare,PS,N/A,Adventure,Infogrames,Darkworks
The BIGS,PS3,2007,Sports,Take-Two Interactive,Blue Castle Games
Fracture,PS3,2008,Shooter,LucasArts,Day 1 Studios
Flushed Away,GC,2006,Platform,D3Publisher,Monkey Bar Games
NBA Live 08,Wii,2007,Sports,Electronic Arts,EA Canada
Summon Night EX-Thesis: Yoake no Tsubasa,PS2,2005,Role-Playing,Banpresto,
Hyperdimension Neptunia Victory,PS3,2012,Role-Playing,Compile Heart,"Idea Factory, Compile Heart"
Pro Yaky? Spirits 3,PS2,2006,Sports,Konami Digital Entertainment,
Silent Scope 3,PS2,2002,Shooter,Konami Digital Entertainment,KCET
NASCAR Heat 2002,GBA,2002,Racing,Infogrames,Crawfish Interactive
Marble Saga: Kororinpa,Wii,2009,Puzzle,Konami Digital Entertainment,Hudson Entertainment
Namco Classic Fighter Collection,PS2,2008,Fighting,Namco Bandai Games,Namco Bandai Games America
International Superstar Soccer Deluxe,SNES,1995,Sports,Konami Digital Entertainment,
Family Game Night 4: The Game Show,Wii,2011,Misc,Electronic Arts,Electronic Arts
Intellivision Lives!,PS2,2003,Misc,Play It,
Robots,GC,2005,Action,Vivendi Games,Eurocom Entertainment Software
WRC 2: FIA World Rally Championship,PS3,2011,Racing,Ubisoft,
The King of Fighters XII,PS3,2009,Fighting,Ignition Entertainment,SNK Playmore
Tak: Mojo Mistake,DS,2008,Action,THQ,THQ
Lego Star Wars: The Force Awakens,PS3,2016,Action,Warner Bros. Interactive Entertainment,TT Games
Dungeon Siege: Throne of Agony,PSP,2006,Role-Playing,Take-Two Interactive,SuperVillain Studios
Rio,DS,2011,Misc,THQ,THQ
SimEarth: The Living Planet,SNES,1991,Simulation,Imagineer,
Finding Nemo: Escape to the Big Blue,DS,2006,Action,THQ,Altron
Sengoku Basara: Chronicle Heroes,PSP,2011,Action,Capcom,
Grease Dance,X360,2011,Misc,505 Games,505 Games
Culdcept SAGA,X360,2006,Role-Playing,Namco Bandai Games,"Omiya Soft, Jamsworks"
The Wild Thornberrys: Chimp Chase,GBA,2001,Action,THQ,Helixe
Power Stakes,PS,1997,Sports,Aques,
World Series of Poker: Tournament of Champions 2007 Edition,X360,2006,Misc,Activision,
Tom and Jerry in Fists of Furry,N64,2000,Fighting,Ubisoft,
Hydro Thunder,N64,2000,Racing,Midway Games,
Destruction Derby 64,N64,1999,Racing,THQ,
Space Invaders,N64,1999,Shooter,Activision,
Starcraft 64,N64,2000,Strategy,Nintendo,
Buck Bumble,N64,1998,Action,Ubisoft,
Wonder Project J2: Koruro no Mori no Josette,N64,1996,Simulation,Enix Corporation,
Asteroids Hyper 64,N64,1999,Shooter,Crave Entertainment,
The Powerpuff Girls: Chemical X-Traction,N64,2001,Action,BAM! Entertainment,
Fighters Destiny,N64,1998,Fighting,Ocean,
Jikkyou Powerful Pro Yakyuu Basic-han 2001,N64,2001,Sports,Konami Digital Entertainment,
The Crew,PC,2014,Racing,Ubisoft,"Ubisoft Reflections, Ivory Tower"
Ready 2 Rumble Revolution,Wii,2009,Sports,Atari,10tacle Studios
Create,PS3,2010,Action,Electronic Arts,EA Bright Light
Minna no DS Seminar: Kanpeki Kanji Ryoku,DS,2006,Misc,TDK Core,
Macross Ace Frontier,PSP,2008,Simulation,Namco Bandai Games,
Black & Bruised,PS2,2003,Fighting,Vivendi Games,
Eragon,DS,2006,Action,Vivendi Games,Amaze Entertainment
TimeShift,PS3,2007,Shooter,Vivendi Games,Saber Interactive
.hack//G.U. Vol.2//Reminisce (jp sales),PS2,2006,Role-Playing,Namco Bandai Games,
Rapala Pro Fishing,XB,2004,Sports,Zoo Digital Publishing,FUN Labs
Spyro: Shadow Legacy,DS,2005,Action,Vivendi Games,Amaze Entertainment
Just Dance: Disney Party,X360,2012,Misc,Ubisoft,"Disney Interactive Studios, Land Ho!"
The Sims 3: Seasons,PC,2012,Simulation,Electronic Arts,The Sims Studio
Our House,DS,2009,Strategy,Majesco Entertainment,BudCat
Bakugan Battle Brawlers: Defenders of the Core,Wii,2010,Action,Activision,Now Production
Guilty Gear Xrd: Sign,PS4,2014,Fighting,Arc System Works,
Sid Meier's Pirates!,Wii,2010,Strategy,Take-Two Interactive,
Scarface: Money. Power. Respect.,PSP,2006,Strategy,Vivendi Games,Radical Entertainment
Angry Birds Star Wars,XOne,2013,Strategy,Activision,Exient Entertainment
Ghost in the Shell: Stand Alone Complex,PS2,2004,Adventure,Namco Bandai Games,
Blitz: The League,X360,2006,Sports,Midway Games,Midway
Battle Soccer: Field no Hasha,SNES,1992,Sports,Banpresto,
Yakuza Kiwami,PS4,2016,Adventure,Sega,Ryu ga Gotoku Studios
NBA 2K12,PC,2011,Sports,Take-Two Interactive,Visual Concepts
Take A Break's: Puzzle Master,DS,2009,Puzzle,Ubisoft,
Ener-G: Dance Squad,DS,2008,Sports,Ubisoft,Lexis Numerique
Rudolph the Red-Nosed Reindeer,Wii,2010,Action,Crave Entertainment,High Voltage Software
FlatOut 2,PS2,2006,Racing,Empire Interactive,Bugbear
Naruto: Ultimate Ninja Heroes 2 - The Phantom Fortress,PSP,2006,Fighting,Atari,CyberConnect2
Despicable Me: The Game,PSP,2010,Platform,D3Publisher,
FIFA Soccer 96,PS,1995,Sports,Electronic Arts,
NCAA Final Four 2001,PS,2000,Sports,Sony Computer Entertainment,989 Sports
Heroes over Europe,PS3,2009,Simulation,Ubisoft,"Atari, Transmission Games, Atari SA"
J-League Jikkyou Winning Eleven 2000,PS,2000,Sports,Konami Digital Entertainment,
Eve: The Lost One,SAT,1998,Adventure,Imagineer,
TNA iMPACT!,Wii,2008,Fighting,Midway Games,
Konami Krazy Racers,GBA,2001,Racing,Konami Digital Entertainment,KCEK
BioShock The Collection,XOne,2016,Shooter,Take-Two Interactive,2K Games
Watchmen: The End is Nigh - The Complete Experience,PS3,2009,Action,Warner Bros. Interactive Entertainment,
Solitaire Overload Plus,DS,2010,Misc,Telegames,Telegames
Saturday Night Slam Masters,SNES,1994,Fighting,Capcom,
F-Zero: GP Legend,GBA,2003,Racing,Nintendo,Suzak
Racing Lagoon,PS,1999,Racing,Square,
Vegas Party,Wii,N/A,Misc,Unknown,Storm City Games
Mr. Driller 2,GBA,2001,Puzzle,Namco Bandai Games,Namco
Klonoa,Wii,2008,Platform,Namco Bandai Games,Paon Corporation
Bulletstorm,PC,2011,Shooter,Electronic Arts,"Epic Games, People Can Fly"
Putty Squad,PS4,2013,Platform,System 3,System 3
J-League Pro Soccer Club o Tsukurou! 6: Pride of J,PSP,2009,Sports,Sega,
Burger Island,DS,2008,Action,Destineer,eGames
The Walking Dead: Season One,XOne,2014,Adventure,Telltale Games,
Field Commander,PSP,2006,Strategy,Sony Online Entertainment,"Sony Online Entertainment, Mind Control Software"
Left Brain Right Brain: Use Both Hands Train Both Sides,DS,2007,Misc,505 Games,
Around the World in 80 Days,DS,2010,Action,PlayV,
"BCFX: The Black College Football Xperience, The Doug Williams Edition",X360,2009,Sports,Aspyr,
Custom Robo Arena,DS,2006,Fighting,Nintendo,Noise Inc.
Ar Nosurge: Ode to an Unborn Star,PS3,2014,Role-Playing,Tecmo Koei,Gust
Power Rangers Double Pack,GBA,2005,Action,THQ,
Imagine: Ice Champions,DS,2007,Sports,Spike,Digital Kids
Pachi-Slot Kanzen Kouryaku 3: Universal Koushiki Gaido Volume 3,PS,1998,Misc,Syscom,
FIFA Soccer 97,PS,1996,Sports,Electronic Arts,
Transformer: Rise of the Dark Spark,X360,2014,Action,Activision,
Shaun White Skateboarding,X360,2010,Sports,Ubisoft,Ubisoft Montreal
Dragon Ball: Origins 2,DS,2010,Action,Namco Bandai Games,Game Republic
Psychic Force,PS,1996,Fighting,Acclaim Entertainment,
Trigger Man,PS2,2004,Shooter,Play It,Point of View
StarBlade α,PS,1995,Shooter,Sony Computer Entertainment,
