name,na_sales,eu_sales,jp_sales,other_sales,global_sales,critic_score,critic_count,user_score,user_count,rating
Top Spin,0.05,0.04,0.0,0.01,0.1,67,28,7.8,12,E
Derby Stallion P,0.0,0.0,0.1,0.0,0.1,,,,,
Family Feud: 2012 Edition,0.1,0.0,0.0,0.01,0.1,47,4,5.3,6,E10+
Kamen Rider: Battride War II,0.0,0.0,0.1,0.0,0.1,,,,,
Kenka Bancho Bros: Tokyo Battle Royale,0.0,0.0,0.1,0.0,0.1,,,,,
UFC: Tapout 2,0.08,0.02,0.0,0.0,0.1,66,14,7.3,4,T
Kirarin * Revolution: Tsukutte Misechao! Kime * Kira Stage,0.0,0.0,0.1,0.0,0.1,,,,,
The Book of Unwritten Tales,0.0,0.08,0.0,0.02,0.1,82,32,8.2,144,T
My First Dollhouse,0.1,0.0,0.0,0.01,0.1,,,tbd,,E
Dreamer Series: Top Model,0.1,0.0,0.0,0.01,0.1,,,tbd,,
Science Papa,0.09,0.01,0.0,0.01,0.1,,,tbd,,E
The Godfather: Mob Wars,0.09,0.0,0.0,0.01,0.1,59,34,7.9,16,M
American Girl: Julie Finds a Way,0.1,0.0,0.0,0.01,0.1,,,tbd,,E
Taiko no Tatsujin: Don Don! Mystery Adventure,0.0,0.0,0.1,0.0,0.1,,,,,
Jikkyou Powerful Pro Yakyuu 10,0.0,0.0,0.1,0.0,0.1,,,,,
Ski-Doo Snowmobile Challenge,0.1,0.0,0.0,0.01,0.1,,,tbd,,E
Vexx,0.08,0.02,0.0,0.0,0.1,70,21,8.5,10,T
F1 Career Challenge,0.05,0.04,0.0,0.01,0.1,70,15,7.7,15,E
Pariah,0.08,0.02,0.0,0.0,0.1,70,52,7.4,19,M
Cabela's Outdoor Adventures,0.08,0.02,0.0,0.0,0.1,,,tbd,,T
Fatal Frame 2: Wii Edition,0.0,0.0,0.1,0.0,0.1,,,,,
Metal Slug 3,0.08,0.02,0.0,0.0,0.1,76,56,5.1,15,T
World Series of Poker: Tournament of Champions 2007 Edition,0.1,0.0,0.0,0.01,0.1,,,,,
Motocross Mania 3,0.05,0.04,0.0,0.01,0.1,,,,,T
Sacred 3,0.03,0.04,0.03,0.01,0.1,56,13,3.4,46,M
Yoostar2,0.04,0.04,0.0,0.02,0.1,54,15,tbd,,T
Pro Yakyuu Famista DS 2009,0.0,0.0,0.1,0.0,0.1,,,,,
Winning Eleven: Pro Evolution Soccer 2007,0.09,0.0,0.0,0.01,0.1,79,22,6.5,33,E
Banjo-Pilot,0.07,0.03,0.0,0.0,0.1,68,22,5.9,9,E
Gallop Racer 2006,0.02,0.02,0.06,0.01,0.1,69,15,8.3,8,E
Wasteland 2,0.03,0.06,0.0,0.01,0.1,81,65,7.3,1170,M
The First Templar,0.06,0.04,0.0,0.01,0.1,52,21,6.3,26,T
Patapon 2,0.0,0.03,0.06,0.01,0.1,81,49,8.3,62,E
Digimon Story: Lost Evolution,0.0,0.0,0.1,0.0,0.1,,,,,
Frogger: Ancient Shadow,0.05,0.04,0.0,0.01,0.1,54,17,4,5,E
Princess Debut,0.1,0.0,0.0,0.01,0.1,71,6,7.4,7,E
Pro Evolution Soccer 2014,0.0,0.1,0.0,0.01,0.1,74,9,4.4,239,E
Despicable Me: The Game,0.05,0.04,0.0,0.01,0.1,,,,,
Metal Arms: Glitch in the System,0.08,0.02,0.0,0.0,0.1,83,30,9.3,19,T
Etrian Odyssey II: Heroes of Lagaard,0.0,0.0,0.1,0.0,0.1,,,,,
The Bachelor: The Videogame,0.1,0.0,0.0,0.01,0.1,,,,,
Tom Clancy's Splinter Cell: Chaos Theory,0.08,0.02,0.0,0.0,0.1,81,28,8.5,15,M
Escape From Monkey Island,0.05,0.04,0.0,0.01,0.1,84,21,8.2,11,T
Disney's Chicken Little: Ace In Action,0.09,0.0,0.0,0.01,0.1,72,8,tbd,,E10+
The Lord of the Rings: Conquest,0.09,0.01,0.0,0.01,0.1,61,9,7.8,6,E10+
Imagine: Soccer Captain,0.1,0.0,0.0,0.01,0.1,,,tbd,,E
Mickey's Speedway USA (weekly JP sales),0.0,0.0,0.1,0.0,0.1,,,,,
Brain Quest: Grades 5 & 6,0.1,0.0,0.0,0.01,0.1,,,,,
Who Wants to Be a Millionaire: 3rd Edition,0.1,0.0,0.0,0.01,0.1,,,tbd,,E
Boku no Natsuyasumi Portable: Mushi Mushi Hakase to Teppen-yama no Himitsu!!,0.0,0.0,0.1,0.0,0.1,,,,,
The Penguins of Madagascar: Dr. Blowhole Returns - Again!,0.06,0.03,0.0,0.01,0.1,,,,,
Power Rangers: Super Legends,0.08,0.02,0.0,0.01,0.1,,,,,
Macross 30: Ginga o Tsunagu Utagoe,0.0,0.0,0.1,0.0,0.1,,,,,
Kidou Senshi Gundam UC,0.0,0.0,0.1,0.0,0.1,,,,,
Gretzky NHL,0.1,0.0,0.0,0.01,0.1,61,23,7.4,10,E
Corvette Evolution GT,0.1,0.0,0.0,0.01,0.1,,,tbd,,E
Momotarou Dentetsu 16,0.0,0.0,0.1,0.0,0.1,,,,,
Dropship: United Peace Force,0.05,0.04,0.0,0.01,0.1,78,17,8.6,10,T
Road Rash: Jailbreak,0.07,0.03,0.0,0.0,0.1,78,15,9.3,23,T
Syberia,0.08,0.02,0.0,0.0,0.1,72,17,7,5,T
Thrillville: Off the Rails,0.09,0.0,0.0,0.01,0.1,72,7,0.6,24,E10+
Cloudy With a Chance of Meatballs,0.09,0.01,0.0,0.01,0.1,66,9,6,5,E
G1 Jockey 3,0.02,0.01,0.07,0.0,0.1,71,12,9,10,E
Family Fun Football,0.1,0.0,0.0,0.01,0.1,,,tbd,,E
Atsumare! Power Pro Kun no DS Koushien,0.0,0.0,0.1,0.0,0.1,,,,,
Exit DS,0.09,0.0,0.01,0.01,0.1,64,25,6.7,6,E
Revolution X,0.06,0.04,0.0,0.01,0.1,,,,,
Little Battlers eXperience W,0.0,0.0,0.1,0.0,0.1,,,,,
Riviera: The Promised Land,0.07,0.03,0.0,0.0,0.1,76,26,9.2,21,T
Blades of Time,0.07,0.02,0.0,0.01,0.1,52,23,6.5,30,M
Yggdra Union: We'll Never Fight Alone,0.05,0.0,0.04,0.01,0.1,73,17,7.9,18,T
Top Gun: Combat Zones,0.07,0.03,0.0,0.0,0.1,,,,,
Dungeon Travelers 2: The Royal Library & The Monster Seal,0.03,0.02,0.05,0.01,0.1,,,,,
"Sesame Street: Ready, Set, Grover!",0.1,0.0,0.0,0.01,0.1,,,,,
Brooktown High: Senior Year,0.09,0.0,0.0,0.01,0.1,51,25,tbd,,T
Bujingai: The Forsaken City,0.05,0.04,0.0,0.01,0.1,72,28,7.5,14,T
Doko Demo Issho,0.0,0.0,0.1,0.0,0.1,,,,,
Universe at War: Earth Assault,0.09,0.01,0.0,0.01,0.1,66,44,8.3,57,T
Barbie in The 12 Dancing Princesses,0.09,0.01,0.0,0.01,0.1,,,tbd,,E
Gem Quest: 4 Elements,0.05,0.05,0.0,0.01,0.1,,,tbd,,E
Beyond Good & Evil,0.08,0.02,0.0,0.0,0.1,,,,,
Death By Degrees,0.05,0.04,0.0,0.01,0.1,51,45,6.2,24,M
Just In Time Translations,0.1,0.0,0.0,0.01,0.1,,,tbd,,E
Gouketuji Ichizoku 2: Chottodake Saikyou Densetsu,0.0,0.0,0.1,0.01,0.1,,,,,
Vandal Hearts II,0.06,0.04,0.0,0.01,0.1,,,,,
Samurai Warriors Chronicles 2nd,0.0,0.0,0.1,0.0,0.1,,,,,
Rome: Total War,0.0,0.09,0.0,0.02,0.1,92,58,9.1,1050,T
Toaru Majutsu no Index,0.0,0.0,0.1,0.0,0.1,,,,,
Doom 3,0.05,0.04,0.0,0.01,0.1,87,83,7.6,896,M
WireWay,0.1,0.0,0.0,0.01,0.1,62,9,tbd,,E
Astro Boy: The Video Game,0.09,0.0,0.0,0.01,0.1,34,9,tbd,,E
Uta no Prince-Sama: Music,0.0,0.0,0.1,0.0,0.1,,,,,
UNO / Skip-Bo / UNO Freefall,0.1,0.0,0.0,0.01,0.1,59,5,tbd,,E
Ride,0.04,0.05,0.0,0.01,0.1,54,9,5.3,17,E
Culdcept DS,0.0,0.0,0.1,0.0,0.1,,,,,
NASCAR The Game: Inside Line,0.09,0.0,0.0,0.01,0.1,72,7,3.4,27,E
How to Train Your Dragon 2,0.03,0.06,0.0,0.02,0.1,,,tbd,,E10+
JU-ON: The Grudge,0.07,0.01,0.01,0.01,0.1,39,32,5.6,34,M
Yu-Gi-Oh! 5D's Wheelie Breakers,0.09,0.01,0.0,0.01,0.1,,,,,
Colin McRae Rally 04,0.08,0.02,0.0,0.0,0.1,84,33,8.1,19,E
The King of Fighters: Dream Match 1999,0.0,0.0,0.1,0.0,0.1,,,,,
Monster Jam: Maximum Destruction,0.07,0.03,0.0,0.0,0.1,58,8,tbd,,E
FIFA Street,0.08,0.02,0.0,0.0,0.1,60,21,8,9,E
Weiss Schwarz Portable,0.0,0.0,0.1,0.0,0.1,,,,,
Dora's Big Birthday Adventure,0.09,0.01,0.0,0.01,0.1,,,tbd,,E
The Sims 4: City Living,0.02,0.08,0.0,0.01,0.1,77,10,5.7,30,T
Kirarin * Revolution: Mezase! Idol Queen,0.0,0.0,0.1,0.0,0.1,,,,,
Dungeons & Dragons Tactics,0.09,0.0,0.0,0.01,0.1,,,,,
X-Men: Children of the Atom,0.06,0.04,0.0,0.01,0.1,,,,,
Hot Wheels: Stunt Track Challenge,0.08,0.02,0.0,0.0,0.1,63,11,6.2,5,E
America's Next Top Model,0.1,0.0,0.0,0.01,0.1,,,tbd,,E10+
Blitz: The League II,0.08,0.01,0.0,0.01,0.1,68,34,7.2,13,M
Math Blaster in the Prime Adventure,0.09,0.0,0.0,0.01,0.1,,,tbd,,E
Blue Stinger,0.0,0.0,0.1,0.0,0.1,,,,,
Shellshock,0.06,0.04,0.0,0.01,0.1,,,,,
Miami Law,0.09,0.0,0.0,0.01,0.1,56,14,8.8,4,T
Hot Wheels Ultimate Racing,0.09,0.0,0.0,0.01,0.1,60,6,tbd,,E
Capcom vs. SNK 2 EO,0.08,0.02,0.0,0.0,0.1,80,26,8.7,13,T
Inazuma Eleven GO Strikers 2013,0.0,0.0,0.1,0.0,0.1,,,,,
Metal Gear Solid HD Edition,0.0,0.0,0.1,0.0,0.1,,,,,
Hunter: The Reckoning,0.08,0.02,0.0,0.0,0.1,70,13,7.6,7,M
Daito Giken Koushiki Pachi-Slot Simulator: Hihouden - Ossu! Banchou - Yoshimune DS,0.0,0.0,0.1,0.0,0.1,,,,,
PictoImage,0.09,0.0,0.0,0.01,0.1,61,11,tbd,,E
Urban Chaos,0.06,0.04,0.0,0.01,0.1,,,,,
Alvin and the Chipmunks: Chipwrecked,0.06,0.03,0.0,0.01,0.1,,,tbd,,E10+
Creeper World 3: Arc Eternal,0.0,0.0,0.1,0.0,0.1,,,,,
DS Kageyama Method: Dennou Hanpuku - Tadashii Kanji Kakitori-Kun,0.0,0.0,0.1,0.0,0.1,,,,,
PDC World Championship Darts: Pro Tour,0.0,0.08,0.0,0.02,0.1,,,,,
Heavy Fire: Afghanistan,0.09,0.0,0.0,0.01,0.1,,,tbd,,T
Freaky Flyers,0.05,0.04,0.0,0.01,0.1,66,20,tbd,,T
Baten Kaitos Origins,0.06,0.02,0.02,0.0,0.1,75,21,8.9,23,T
E·O·E: Eve of Extinction,0.04,0.03,0.02,0.01,0.1,57,28,7.2,6,T
Football Manager 2014,0.0,0.08,0.0,0.02,0.1,,,,,
Dark Summit,0.08,0.02,0.0,0.0,0.1,71,26,tbd,,T
Penguin no Mondai: The World,0.0,0.0,0.1,0.0,0.1,,,,,
Flushed Away,0.09,0.0,0.0,0.01,0.1,,,,,
NHL 2004,0.08,0.02,0.0,0.0,0.1,85,18,8.4,7,E
Hakuouki Portable,0.0,0.0,0.1,0.0,0.1,,,,,
Surf's Up,0.09,0.0,0.0,0.01,0.1,61,15,6.1,9,E10+
Monkey Island: Special Edition Collection,0.0,0.08,0.0,0.02,0.1,,,,,
Cabela's Adventure Camp,0.07,0.02,0.0,0.01,0.1,,,tbd,,E
X-Men: The Official Game,0.08,0.02,0.0,0.0,0.1,53,38,8.1,7,T
RLH: Run Like Hell,0.05,0.04,0.0,0.01,0.1,58,27,8.2,9,M
Digimon Adventure,0.0,0.0,0.1,0.0,0.1,,,,,
Backyard Baseball '10,0.09,0.0,0.0,0.01,0.1,,,tbd,,E
Scribblenauts Unmasked: A DC Comics Adventure,0.09,0.0,0.0,0.01,0.1,71,17,6.3,39,E10+
The Ant Bully,0.05,0.04,0.0,0.01,0.1,52,19,4.2,6,E10+
Conflict: Global Terror,0.08,0.02,0.0,0.0,0.1,62,24,7.9,8,M
Minority Report: Everybody Runs,0.08,0.02,0.0,0.0,0.1,53,19,tbd,,T
Monster Rancher EVO,0.02,0.02,0.05,0.01,0.1,58,16,6.8,8,E10+
Football Director DS,0.0,0.1,0.0,0.0,0.1,,,,,
Project Hacker: Kakusei,0.0,0.0,0.1,0.0,0.1,,,,,
SimAnimals Africa,0.08,0.02,0.0,0.01,0.1,,,tbd,,E
Karaoke Revolution,0.07,0.02,0.0,0.01,0.1,66,8,tbd,,T
Terraria,0.0,0.01,0.09,0.0,0.1,85,17,7.8,112,T
Guitar Hero: Van Halen,0.05,0.04,0.0,0.01,0.1,,,tbd,,T
The Whispered World,0.0,0.08,0.0,0.02,0.1,70,41,7.6,77,E
Olympic Summer Games: Atlanta 1996,0.06,0.04,0.0,0.01,0.1,,,,,
Disney's The Haunted Mansion,0.08,0.02,0.0,0.0,0.1,,,,,
Tatsunoko vs. Capcom: Cross Generation of Heroes,0.0,0.0,0.1,0.0,0.1,,,,,
Alvin and the Chipmunks: Chipwrecked,0.09,0.01,0.0,0.01,0.1,,,5.1,8,E10+
Water Sports,0.05,0.04,0.0,0.01,0.1,,,tbd,,E
Agatha Christie: The ABC Murders,0.08,0.01,0.0,0.01,0.1,53,11,6.5,4,T
KORG DS-10 Synthesizer Plus,0.07,0.0,0.02,0.01,0.1,,,,,
Darius Gaiden,0.0,0.0,0.1,0.0,0.1,,,,,
Help Wanted: 50 Wacky Jobs,0.06,0.03,0.0,0.01,0.1,65,12,7,5,E10+
All Kamen Rider: Rider Generation 2,0.0,0.0,0.1,0.0,0.1,,,,,
Beach Spikers: Virtua Beach Volleyball,0.08,0.02,0.0,0.0,0.1,76,31,8.1,9,E
Draglade,0.09,0.0,0.0,0.01,0.1,71,23,7.5,4,E10+
Scribblenauts Unmasked: A DC Comics Adventure,0.09,0.0,0.0,0.01,0.1,68,7,6.2,20,E10+
Fallout 3 Game Add-On Pack: The Pitt and Operation: Anchorage,0.09,0.0,0.0,0.01,0.1,,,tbd,,M
You Don't Know Jack: Mock 2,0.06,0.04,0.0,0.01,0.1,82,6,tbd,,E
3D Tank Warfare Simulator Panzer Front,0.06,0.04,0.0,0.01,0.1,,,,,
Jade Cocoon 2,0.05,0.04,0.0,0.01,0.1,76,16,7.8,22,T
Lord of Apocalypse,0.0,0.0,0.1,0.0,0.1,,,,,
Igor: The Game,0.09,0.0,0.0,0.01,0.1,,,tbd,,E
Kabushiki Baibai Trainer: Kabutore!,0.0,0.0,0.1,0.0,0.1,,,,,
Dancing on Ice,0.0,0.09,0.0,0.01,0.1,,,,,
Mana Khemia: Student Alliance,0.06,0.0,0.03,0.01,0.1,41,19,5.3,37,E10+
The Destiny of Zorro,0.09,0.0,0.0,0.01,0.1,,,tbd,,E10+
Sword & Sorcery,0.0,0.0,0.1,0.0,0.1,,,,,
Van Helsing,0.07,0.03,0.0,0.0,0.1,33,11,6.3,6,T
Bee Movie Game,0.05,0.04,0.0,0.01,0.1,65,11,7.5,4,E
Resident Evil: Revelations 2,0.0,0.03,0.07,0.01,0.1,65,12,7.8,63,M
Record of Agarest War Zero,0.09,0.0,0.0,0.01,0.1,,,6.8,17,T
HOP,0.08,0.01,0.0,0.01,0.1,,,,,
USA Today Puzzle Craze,0.09,0.0,0.0,0.01,0.1,,,tbd,,E
Machi-Ing Maker 3 x Tousouchuu,0.0,0.0,0.1,0.0,0.1,,,,,
Truth or Lies,0.04,0.05,0.0,0.01,0.1,,,tbd,,T
Kelly Slater's Pro Surfer,0.08,0.02,0.0,0.0,0.1,80,15,8,5,E
My Healthy Cooking Coach,0.09,0.0,0.0,0.01,0.1,,,tbd,,E
SNK vs. Capcom: SVC Chaos,0.08,0.02,0.0,0.0,0.1,,,,,
NFL Tour,0.09,0.0,0.0,0.01,0.1,49,35,3.1,45,E
Master of the Monster Lair,0.09,0.0,0.0,0.01,0.1,56,8,tbd,,E10+
Harry Potter and the Deathly Hallows - Part 1,0.08,0.02,0.0,0.01,0.1,37,5,4.1,33,T
Sudoku Mania,0.09,0.0,0.0,0.01,0.1,25,4,3.5,4,E
Codename: Kids Next Door: Operation V.I.D.E.O.G.A.M.E.,0.05,0.04,0.0,0.01,0.1,49,9,8,11,E10+
Choujikuu Yousai Macross: Ai Oboete Imasu ka,0.0,0.0,0.1,0.0,0.1,,,,,
Resident Evil: Revelations 2,0.07,0.02,0.0,0.01,0.1,75,22,7.5,106,M
Thief (2014),0.0,0.09,0.0,0.01,0.1,,,,,
Vanishing Point,0.06,0.04,0.0,0.01,0.1,68,11,tbd,,E
Dragonseeds,0.03,0.02,0.04,0.01,0.1,,,,,
The Bard's Tale,0.08,0.02,0.0,0.0,0.1,75,50,8.8,4,T
Nodame Cantabile,0.0,0.0,0.1,0.0,0.1,,,,,
The History Channel: Civil War - Secret Missions,0.09,0.0,0.0,0.01,0.1,,,,,
Alien Hominid,0.05,0.04,0.0,0.01,0.1,78,47,8.3,13,T
World Snooker Championship 2007,0.0,0.1,0.0,0.0,0.1,,,,,
L'Aigle de Guerre,0.0,0.0,0.1,0.0,0.1,,,,,
Earth Defense Force 2025.1: The Shadow of New Despair,0.0,0.0,0.1,0.0,0.1,,,,,
Lode Runner 3-D,0.08,0.02,0.0,0.0,0.1,,,,,
Indy Racing 2000,0.08,0.02,0.0,0.0,0.1,,,,,
GT64 Championship Edition,0.08,0.02,0.0,0.0,0.1,,,,,
Milo's Astro Lanes,0.08,0.02,0.0,0.0,0.1,,,,,
Jeopardy!,0.08,0.02,0.0,0.0,0.1,,,,,
Disney's Donald Duck: Goin' Quackers,0.08,0.02,0.0,0.0,0.1,,,,,
Aidyn Chronicles: The First Mage,0.08,0.02,0.0,0.0,0.1,,,,,
Virtual Pool 64,0.08,0.02,0.0,0.0,0.1,,,,,
Flying Dragon,0.08,0.02,0.0,0.0,0.1,,,,,
International Superstar Soccer 64 (weekly JP sales),0.0,0.0,0.05,0.05,0.1,,,,,
Gekido,0.06,0.04,0.0,0.01,0.1,,,,,
Myst,0.09,0.0,0.0,0.01,0.1,43,25,3.5,6,E
Sword Art Online: Lost Song,0.0,0.0,0.1,0.0,0.1,,,,,
Disney's The Jungle Book,0.07,0.03,0.0,0.0,0.1,60,4,tbd,,E
Puss in Boots,0.08,0.01,0.0,0.01,0.1,,,tbd,,E
Tom Clancy's Ghost Recon: Predator,0.07,0.02,0.0,0.02,0.1,54,15,tbd,,T
Murdered: Soul Suspect,0.06,0.03,0.0,0.01,0.1,,,7.2,57,M
Army Men World War: Team Assault,0.06,0.04,0.0,0.01,0.1,,,,,
Deca Sports DS,0.07,0.02,0.0,0.01,0.1,57,10,tbd,,E
nail'd,0.08,0.02,0.0,0.01,0.1,64,49,7.1,16,E10+
Tom Clancy's Splinter Cell,0.07,0.03,0.0,0.0,0.1,77,21,8.6,8,T
Bullet Witch,0.07,0.01,0.02,0.01,0.1,55,59,6.1,41,M
Spider-Man: Web of Shadows,0.09,0.0,0.0,0.01,0.1,77,12,7.5,14,E10+
Pinball Hall of Fame: The Williams Collection,0.09,0.0,0.0,0.01,0.1,67,5,7.3,8,E10+
Rolling Stone: Drum King,0.09,0.0,0.0,0.01,0.1,32,4,1.8,4,T
NBA Ballers: Rebound,0.09,0.0,0.0,0.01,0.1,69,17,7.7,7,E
Marvel vs. Capcom: Clash of Super Heroes,0.0,0.0,0.1,0.0,0.1,,,,,
Silent Scope Complete,0.07,0.02,0.0,0.0,0.1,69,25,7.4,5,M
King's Field: The Ancient City,0.05,0.04,0.0,0.01,0.1,60,14,8.5,13,T
LEGO Rock Raiders,0.06,0.04,0.0,0.01,0.1,,,,,
Ghost in the Shell,0.06,0.04,0.0,0.01,0.1,,,,,
Leisure Suit Larry: Box Office Bust,0.06,0.03,0.0,0.01,0.1,17,11,1.7,37,M
Attack of the Movies 3D,0.09,0.0,0.0,0.01,0.1,39,6,tbd,,T
Monkey Mischief! Party Time,0.09,0.0,0.0,0.01,0.1,,,tbd,,E10+
Evil Dead: Fistfull of Boomstick,0.07,0.02,0.0,0.0,0.1,,,,,
Tom Clancy's Classic Trilogy,0.07,0.02,0.0,0.0,0.1,,,tbd,,M
Harvest Moon DS Cute (jp sales),0.0,0.0,0.1,0.0,0.1,,,,,
Little League World Series Baseball 2010,0.09,0.0,0.0,0.01,0.1,55,4,tbd,,E
Indigo Prophecy,0.07,0.03,0.0,0.0,0.1,84,51,7.7,39,M
Bleach: Dark Souls (JP sales),0.0,0.0,0.1,0.0,0.1,,,,,
Kiku! Kaku! Kotoba o Fuyasu! Hajimete no Eigo Training,0.0,0.0,0.1,0.0,0.1,,,,,
Generator Rex: Agent of Providence,0.07,0.02,0.0,0.01,0.1,,,tbd,,E10+
Over the Hedge,0.07,0.02,0.0,0.0,0.1,61,26,tbd,,E10+
Cabela's North American Adventures,0.09,0.0,0.0,0.01,0.1,,,7.8,5,T
World Series of Poker 2008: Battle for the Bracelets,0.08,0.01,0.0,0.01,0.1,75,6,tbd,,T
Sneakers,0.07,0.02,0.0,0.0,0.1,28,13,4.6,8,E
Crime Crackers,0.0,0.0,0.09,0.01,0.1,,,,,
NHL 2K6,0.09,0.0,0.0,0.01,0.1,75,37,6.1,24,E10+
SCORE International Baja 1000: The Official Game,0.09,0.0,0.0,0.01,0.1,,,,,
Micro Machines V3,0.06,0.04,0.0,0.01,0.1,,,,,
X-Men: Destiny,0.07,0.02,0.0,0.01,0.1,36,10,4.5,15,T
College Hoops 2K6,0.07,0.02,0.0,0.0,0.1,82,17,9.2,6,E
Contact,0.07,0.0,0.03,0.01,0.1,73,36,8.2,35,E10+
"Warhammer 40,000: Dawn of War II - Chaos Rising",0.08,0.01,0.0,0.01,0.1,,,,,
"Sakura Wars 2: Kimi, Shinitamou koto Nakare",0.0,0.0,0.1,0.0,0.1,,,,,
Happy Feet Two,0.08,0.01,0.0,0.01,0.1,,,tbd,,E
Idol Janshi Suchie-Pai Remix,0.0,0.0,0.1,0.0,0.1,,,,,
NBA 2K16,0.03,0.06,0.0,0.01,0.1,,,5.7,65,E10+
Exhibition Volume 03,0.07,0.02,0.0,0.0,0.1,,,,,
Fate/hollow ataraxia,0.0,0.0,0.1,0.0,0.1,,,,,
Marvel Super Hero Squad: The Infinity Gauntlet,0.07,0.02,0.0,0.01,0.1,54,4,tbd,,E10+
Harvey Birdman: Attorney at Law,0.09,0.0,0.0,0.01,0.1,62,19,8,8,T
Zero4 Champ RR-Z,0.0,0.0,0.1,0.0,0.1,,,,,
Initial D: Street Stage,0.0,0.0,0.1,0.0,0.1,,,,,
Tales of Innocence R,0.0,0.0,0.1,0.0,0.1,,,,,
Harry Potter and the Deathly Hallows - Part 2,0.05,0.04,0.0,0.01,0.1,43,12,5,56,
Nicktoons: MLB,0.09,0.0,0.0,0.01,0.1,,,,,
Tom Clancy's HAWX 2,0.06,0.03,0.0,0.01,0.1,47,11,tbd,,T
Predator: Concrete Jungle,0.07,0.02,0.0,0.0,0.1,46,17,8,10,M
Lucky * Star: Ryouou Gakuen Outousai,0.0,0.0,0.1,0.0,0.1,,,,,
Start the Party! Save the World,0.0,0.08,0.0,0.02,0.1,,,,,
Opoona,0.08,0.0,0.01,0.01,0.1,65,33,7.7,14,E10+
Big League Sports,0.09,0.01,0.0,0.01,0.1,,,1.4,10,E
Naruto Shippuden: Gekito Ninja Taisen! EX,0.0,0.0,0.1,0.0,0.1,,,,,
Universal Studios Theme Parks Adventure,0.08,0.02,0.0,0.0,0.1,39,11,2.9,11,T
Nihon Keizai Shinbunsha Kanshuu: Shiranai Mamade wa Son o Suru Mono ya Okane no Shikumi DS,0.0,0.0,0.1,0.0,0.1,,,,,
Steins;Gate,0.04,0.04,0.0,0.02,0.1,83,16,9.2,87,M
Piglet's Big Game,0.05,0.04,0.0,0.01,0.1,,,tbd,,E
Real Bout Garou Densetsu,0.0,0.0,0.1,0.0,0.1,,,,,
"Prinny 2: Dawn of Operation Panties, Dood!",0.05,0.0,0.03,0.01,0.1,,,,,
Project FIFA World Cup,0.0,0.0,0.1,0.0,0.1,,,,,
Rocky: Legends,0.07,0.02,0.0,0.0,0.1,67,21,5.2,6,T
The BIGS 2,0.09,0.0,0.0,0.01,0.1,67,5,tbd,,E10+
Lord of Apocalypse,0.0,0.0,0.1,0.0,0.1,,,,,
Dora & Kai-Lan's Pet Shelter,0.08,0.01,0.0,0.01,0.1,,,,,
Famicom Mini: Famicom Tantei Club Part II - Ushiro ni Tatsu Shoujo Zenkouhen,0.0,0.0,0.1,0.0,0.1,,,,,
Nancy Drew: The Model Mysteries,0.09,0.0,0.0,0.01,0.1,,,tbd,,E10+
Higurashi no Nakukoru ni Kizuna: Dai-Ni-Kan - Sou,0.0,0.0,0.1,0.0,0.1,,,,,
Cate West: The Vanishing Files,0.08,0.01,0.0,0.01,0.1,68,4,tbd,,E10+
Star Trek: Shattered Universe,0.05,0.04,0.0,0.01,0.1,42,19,8.3,18,E
Fifi and the Flowertots,0.0,0.09,0.0,0.01,0.1,,,,,
The Land Before Time: Great Valley Racing Adventure,0.05,0.04,0.0,0.01,0.1,,,,,
System Flaw,0.09,0.0,0.0,0.01,0.1,,,tbd,,E
Ultra Street Fighter IV,0.0,0.08,0.0,0.01,0.1,71,28,5.9,94,T
EVE: Valkyrie,0.03,0.05,0.0,0.02,0.1,73,26,6.3,37,T
Dragon Ball: Evolution,0.09,0.0,0.0,0.01,0.1,28,16,0.9,50,T
The Walking Dead: Season Two,0.04,0.05,0.0,0.01,0.1,,,,,
The Crew: Wild Run,0.0,0.08,0.0,0.01,0.1,73,13,6.8,50,T
Pajama Sam: Don't Fear The Dark,0.09,0.0,0.0,0.01,0.1,,,,,
The Walking Dead: Season Two,0.07,0.0,0.01,0.02,0.1,,,,,
MTX Mototrax,0.07,0.02,0.0,0.0,0.1,79,39,tbd,,E
Blast Chamber,0.05,0.04,0.0,0.01,0.1,,,,,
Championship Pony,0.09,0.0,0.0,0.01,0.1,,,tbd,,E
NASCAR Unleashed,0.09,0.0,0.0,0.01,0.1,,,tbd,,E
Code:Realize - Sousei no Himegimi,0.05,0.0,0.03,0.02,0.1,,,,,
Natural Doctrine,0.05,0.02,0.02,0.01,0.1,53,31,6,79,M
NeverDead,0.06,0.03,0.0,0.01,0.1,52,46,5.5,65,M
EyeToy: Operation Spy,0.05,0.04,0.0,0.01,0.1,53,23,tbd,,E
MotoGP 07,0.05,0.04,0.0,0.01,0.1,62,26,9.1,7,E
Blades of Time,0.04,0.03,0.01,0.01,0.1,53,19,7.2,22,M
Disney Sing It! High School Musical 3: Senior Year,0.09,0.0,0.0,0.01,0.1,,,,,
Thor: God of Thunder,0.06,0.03,0.0,0.01,0.1,55,10,4.2,5,T
Option Tuning Car Battle,0.0,0.0,0.09,0.01,0.1,,,,,
Ridge Racer 2,0.0,0.02,0.07,0.01,0.1,,,,,
Pro Evolution Soccer 2016,0.04,0.05,0.0,0.01,0.1,,,7,34,E
Derby Jockey 2,0.0,0.0,0.1,0.0,0.1,,,,,
Cubic Ninja,0.05,0.04,0.0,0.01,0.1,51,15,5.9,14,E
